id,instruction,issue,start,end,writeback,slot
1,"MUL R8, R1, R2",1,2,6,7,MUL0
2,"ADD R9, R8, R3",2,8,9,10,ADD0
3,"SUB R8, R4, R5",3,4,5,6,ADD1
4,"ADD R3, R6, R7",4,6,7,8,ADD2
5,"MUL R10, R8, R7",5,7,11,12,MUL1
6,"ADD R11, R9, R10",6,13,14,15,ADD1
